co-founder1,co-founder2,organization name,country,google_search_query_founder1,google_search_query_founder2,co-founder1 linkedin profile,co-founder2 linkedin profile,co-founder1 cv,co-founder2 cv
Enas Siam,Mohamed Mossaad,Flextock,Egypt,site:linkedin.com/in Enas Siam Flextock Egypt,site:linkedin.com/in Mohamed Mossaad Flextock Egypt,,https://eg.linkedin.com/in/mohamed-mossaad-50903438,,
Samer Sallam,Sherif Mohsen,naqla,Egypt,site:linkedin.com/in Samer Sallam naqla Egypt,site:linkedin.com/in Sherif Mohsen naqla Egypt,https://eg.linkedin.com/in/samer-sallam-40113216,,,
Maged Negm,,Qme solutions,Egypt,site:linkedin.com/in Maged Negm Qme solutions Egypt,,https://eg.linkedin.com/in/maged-negm-9a51a318,,,
Albert Shelby,Alex Mace,BugSwagger,Egypt,site:linkedin.com/in Albert Shelby BugSwagger Egypt,site:linkedin.com/in Alex Mace BugSwagger Egypt,,,,
Andrew Saad,Ayman Ahmed,Bypa-ss,Egypt,site:linkedin.com/in Andrew Saad Bypa-ss Egypt,site:linkedin.com/in Ayman Ahmed Bypa-ss Egypt,https://eg.linkedin.com/in/andrewsaad1,,,
Omar Eldessouky,,Seqoon,Egypt,site:linkedin.com/in Omar Eldessouky Seqoon Egypt,,https://eg.linkedin.com/in/hussein-el-dessouky-7989a7161,,,
Abdelrahman Hosny,Ahmad ElKawass,ShipBlu,Egypt,site:linkedin.com/in Abdelrahman Hosny ShipBlu Egypt,site:linkedin.com/in Ahmad ElKawass ShipBlu Egypt,https://eg.linkedin.com/in/ahmed-elleithy-78827b86,,,
Nour Emam,Yousef ElSammaa,Mother Being,Egypt,site:linkedin.com/in Nour Emam Mother Being Egypt,site:linkedin.com/in Yousef ElSammaa Mother Being Egypt,https://eg.linkedin.com/in/nourmemam,,,
Ahmed Osman,Kareem El Daly,The Food Lab,Egypt,site:linkedin.com/in Ahmed Osman The Food Lab Egypt,site:linkedin.com/in Kareem El Daly The Food Lab Egypt,https://www.linkedin.com/in/drahmed-osman,,,
Ahmed Kadous,Haitham El-Ghotni,Pharmacy Marts,Egypt,site:linkedin.com/in Ahmed Kadous Pharmacy Marts Egypt,site:linkedin.com/in Haitham El-Ghotni Pharmacy Marts Egypt,https://eg.linkedin.com/in/ahmed-kadous,,,
Mohamed Ewis,Sherif ElRakabawy,TRU,Egypt,site:linkedin.com/in Mohamed Ewis TRU Egypt,site:linkedin.com/in Sherif ElRakabawy TRU Egypt,https://www.linkedin.com/in/mohamed-ewis-58684b181,,,
Omar Ekram,,Dayra,Egypt,site:linkedin.com/in Omar Ekram Dayra Egypt,,https://eg.linkedin.com/in/omar-ekram-56088128,,,
Ahella El Saban,Ayman El Tanbouly,Exits.me,Egypt,site:linkedin.com/in Ahella El Saban Exits.me Egypt,site:linkedin.com/in Ayman El Tanbouly Exits.me Egypt,https://eg.linkedin.com/in/ahella888,,,
Hassan Abouzeed,Khaled Hassan,Qara,Egypt,site:linkedin.com/in Hassan Abouzeed Qara Egypt,site:linkedin.com/in Khaled Hassan Qara Egypt,https://eg.linkedin.com/in/hassan-abouzeed-05b91061,,,
Alaa Afifi,,Bekia,Egypt,site:linkedin.com/in Alaa Afifi Bekia Egypt,,https://eg.linkedin.com/in/alaaafifi,,,
Justina Adel,Mohamed Kabil,Dawarha,Egypt,site:linkedin.com/in Justina Adel Dawarha Egypt,site:linkedin.com/in Mohamed Kabil Dawarha Egypt,https://eg.linkedin.com/in/nabil-ghattas-76457a9b,,,
Ahmed ElMahdy,Gohar Said,Suplyd,Egypt,site:linkedin.com/in Ahmed ElMahdy Suplyd Egypt,site:linkedin.com/in Gohar Said Suplyd Egypt,https://eg.linkedin.com/in/ahelmahdy,,,
Ahmed Omran,Aly Mahmoud,Eksab,Egypt,site:linkedin.com/in Ahmed Omran Eksab Egypt,site:linkedin.com/in Aly Mahmoud Eksab Egypt,https://eg.linkedin.com/in/dr-ahomran,,,
Ahmed Habashy,Mohamed Attya,yashry.com,Egypt,site:linkedin.com/in Ahmed Habashy yashry.com Egypt,site:linkedin.com/in Mohamed Attya yashry.com Egypt,https://ae.linkedin.com/in/habashyjr,,,
Ahmed Bahgat,Mahmoud Saeed,INSITE OOH,Egypt,site:linkedin.com/in Ahmed Bahgat INSITE OOH Egypt,site:linkedin.com/in Mahmoud Saeed INSITE OOH Egypt,https://eg.linkedin.com/in/mahmoudasaeed,,,
Waleed Rashed,,VOO,Egypt,site:linkedin.com/in Waleed Rashed VOO Egypt,,https://sa.linkedin.com/in/waleedrashed,,,
Shehab Mokhtar,,Appetito,Egypt,site:linkedin.com/in Shehab Mokhtar Appetito Egypt,,https://ae.linkedin.com/in/shehabmokhtar,,,
Mostafa Ashour,,PeopleCQ,Egypt,site:linkedin.com/in Mostafa Ashour PeopleCQ Egypt,,https://www.linkedin.com/in/mostafaashour,,,
Alaa Shalaby,Hassan Elshourbagi,Sharwa,Egypt,site:linkedin.com/in Alaa Shalaby Sharwa Egypt,site:linkedin.com/in Hassan Elshourbagi Sharwa Egypt,https://eg.linkedin.com/in/alaa-shalaby-50906964,,,
Mohamed El-Shinnawy,,Minly,Egypt,site:linkedin.com/in Mohamed El-Shinnawy Minly Egypt,,https://eg.linkedin.com/in/shinnawy,,,
Farah Emara,Omar Emara,FreshSource,Egypt,site:linkedin.com/in Farah Emara FreshSource Egypt,site:linkedin.com/in Omar Emara FreshSource Egypt,https://eg.linkedin.com/in/farah-emara-030095131,,,
Amad Almasodi,,Aqarmap,Egypt,site:linkedin.com/in Amad Almasodi Aqarmap Egypt,,https://www.linkedin.com/in/almsaodi,,,
Ahmed Hisham,Ibrahim Farag,Nexta,Egypt,site:linkedin.com/in Ahmed Hisham Nexta Egypt,site:linkedin.com/in Ibrahim Farag Nexta Egypt,https://eg.linkedin.com/in/ahmed-hisham-17a5038,,,
Mohamed Abdulaziz,,Milezmore,Egypt,site:linkedin.com/in Mohamed Abdulaziz Milezmore Egypt,,,,,
Abdelaziz Abdel Nabi,Asser Yehia,Qardy,Egypt,site:linkedin.com/in Abdelaziz Abdel Nabi Qardy Egypt,site:linkedin.com/in Asser Yehia Qardy Egypt,https://eg.linkedin.com/in/abdelaziz-abdel-nabi-41703412,,,
Ashraf Bacheet,nader iskander,O7 Therapy,Egypt,site:linkedin.com/in Ashraf Bacheet O7 Therapy Egypt,site:linkedin.com/in nader iskander O7 Therapy Egypt,https://eg.linkedin.com/in/bacheet,,,
Lydia Schoonderbeek,,Source Beauty,Egypt,site:linkedin.com/in Lydia Schoonderbeek Source Beauty Egypt,,https://uk.linkedin.com/in/lydia-schoonderbeek-06151155,,,
Karim Amer,Mohamed ElHelw,Visual and AI Solutions (VAIS),Egypt,site:linkedin.com/in Karim Amer Visual and AI Solutions (VAIS) Egypt,site:linkedin.com/in Mohamed ElHelw Visual and AI Solutions (VAIS) Egypt,https://eg.linkedin.com/in/karim-amer-42188a6b,,,
Dina Elhaddad,Heba El Gabaly,EFreshli,Egypt,site:linkedin.com/in Dina Elhaddad EFreshli Egypt,site:linkedin.com/in Heba El Gabaly EFreshli Egypt,https://www.linkedin.com/in/dinaelhaddad,,,
Hussein El Kheshen,Ramy Khorshed,Sakneen,Egypt,site:linkedin.com/in Hussein El Kheshen Sakneen Egypt,site:linkedin.com/in Ramy Khorshed Sakneen Egypt,https://eg.linkedin.com/in/husseinelkheshen,,,
Abd elrahman Galal,mohamed mansour,Awfar,Egypt,site:linkedin.com/in Abd elrahman Galal Awfar Egypt,site:linkedin.com/in mohamed mansour Awfar Egypt,https://eg.linkedin.com/in/ahmman,,,
Ahmed Osama,Shady Samir,Bringy,Egypt,site:linkedin.com/in Ahmed Osama Bringy Egypt,site:linkedin.com/in Shady Samir Bringy Egypt,https://eg.linkedin.com/in/seham-elsharabasy-b47436224,,,
Basil Khattab,Mohamed Youssef ElBaz,Zedny,Egypt,site:linkedin.com/in Basil Khattab Zedny Egypt,site:linkedin.com/in Mohamed Youssef ElBaz Zedny Egypt,https://eg.linkedin.com/in/basilkhattab,,,
Mahmoud Moussa,,Hollydesk,Egypt,site:linkedin.com/in Mahmoud Moussa Hollydesk Egypt,,https://www.linkedin.com/in/moussa1,,,
Bishoy R. Mesdary,Hussein Raafat El-Gebealy,GBarena,Egypt,site:linkedin.com/in Bishoy R. Mesdary GBarena Egypt,site:linkedin.com/in Hussein Raafat El-Gebealy GBarena Egypt,,https://eg.linkedin.com/in/hussein-raafat,,
Abdelrahman Elsharawy,,Vapulus,Egypt,site:linkedin.com/in Abdelrahman Elsharawy Vapulus Egypt,,,,,
